feature,importance
years_experience,0.22583605713504165
experience_level_ord,0.21513784901357488
experience_level_EX,0.14826193152642853
company_location_India,0.042915305550445
experience_level_SE,0.041206786581032086
company_location_China,0.037776292753639466
company_location_Switzerland,0.03599618247838221
company_size_L,0.03555232747294108
job_description_length,0.021802989765034704
company_location_Denmark,0.020671480615421494
company_location_Norway,0.020133121659354526
days_to_deadline,0.018068412261587556
benefits_score,0.017363911919116414
salary_currency_USD,0.015374967354651653
company_location_United States,0.013164447413266396
education_required_ord,0.006269987507623491
experience_level_EN,0.005999165927465578
experience_level_MI,0.005417043310593101
company_location_Sweden,0.005285679519537813
company_location_Singapore,0.005043742823188906
remote_ratio,0.004910720411902054
skills_count,0.004859509637693826
company_size_M,0.003406747585795421
company_size_S,0.0034006372416364203
company_location_South Korea,0.003240033375391518
company_location_Austria,0.0030245750197851226
company_location_Australia,0.0028030141568848917
home_country_match,0.002348908686669613
company_location_Canada,0.0021675618507959373
employment_type_PT,0.0020485006182866397
employment_type_FT,0.002012365855547158
employment_type_CT,0.0019956556834327408
employment_type_FL,0.001982749813531241
company_location_Japan,0.0019022716002083777
company_location_Finland,0.0014601315380470773
company_location_Israel,0.0014100504317381927
company_location_Ireland,0.0012656497755889832
company_location_France,0.0011439450619874865
industry_Technology,0.001010098371447534
industry_Real Estate,0.0010055535971327824
industry_Consulting,0.000997962010483269
industry_Manufacturing,0.0009969885350375523
industry_Telecommunications,0.0009657705628071714
industry_Media,0.000906123064297161
industry_Government,0.0008974794243205588
industry_Finance,0.0008851514452014154
industry_Automotive,0.000879141334692304
industry_Transportation,0.0008733728826162174
industry_Healthcare,0.0008512094881998118
industry_Retail,0.0008282046588610944
industry_Energy,0.0008257435380798884
industry_Education,0.000816546502137544
salary_currency_EUR,0.0007584844097229839
industry_Gaming,0.000756989975943799
company_location_Netherlands,0.0006476718566369308
company_location_Germany,0.0004813084136484078
salary_currency_CAD,0.0004395340113650035
salary_currency_GBP,0.000353348213803452
salary_currency_JPY,0.0003420980218712959
company_location_United Kingdom,0.00032727418524282646
salary_currency_SGD,0.00020815578637410474
salary_currency_AUD,0.0001661316794459813
salary_currency_CHF,0.00011894709738149905
