feature,importance
years_experience,0.19988177001845334
experience_level_EX,0.16966795727805517
experience_level_ord,0.15175071547600846
experience_level_EN,0.032885976306775026
company_location_Switzerland,0.029814879571695672
job_description_length,0.027614170143841134
experience_level_MI,0.026844232085676073
days_to_deadline,0.02531312794448524
benefits_score,0.024409636244220805
company_size_L,0.023444936364996782
company_location_Denmark,0.02289671005922252
company_location_Norway,0.02280075916359245
company_location_China,0.021491767510708134
company_location_India,0.020950325879518835
experience_level_SE,0.01872630271504199
company_size_S,0.01398782726403108
education_required_ord,0.011185044007659718
company_location_United States,0.011062034188383295
salary_currency_USD,0.010756066169423272
remote_ratio,0.009075098701269676
skills_count,0.008929216345699426
salary_currency_CHF,0.008502935794011056
company_location_South Korea,0.0063943536097435935
company_size_M,0.006361279510435336
company_location_Austria,0.0058632352358062734
home_country_match,0.004715439501389301
company_location_Finland,0.004695707400785628
employment_type_PT,0.004295042621821857
company_location_Japan,0.004214156579215116
employment_type_CT,0.004158857306980122
employment_type_FT,0.004019482531002325
employment_type_FL,0.0039577632714158355
company_location_Israel,0.003943849286307688
company_location_Singapore,0.003378918138628234
company_location_Sweden,0.003341580093914629
salary_currency_EUR,0.003083684047823523
company_location_Ireland,0.002843323940439375
industry_Education,0.0022050689820220246
industry_Technology,0.002091364771784144
company_location_Canada,0.0020468735006332027
industry_Consulting,0.0020223858994576176
industry_Healthcare,0.002010092601130823
industry_Finance,0.0019847443528719613
industry_Energy,0.0019810801972144176
industry_Real Estate,0.001979016349167779
industry_Manufacturing,0.0019678141243396337
industry_Telecommunications,0.0019182054455545272
industry_Transportation,0.001877029676795203
industry_Government,0.0018554676833255736
company_location_Australia,0.0018538871526253265
industry_Retail,0.0018276100250685066
industry_Media,0.0018075484413276929
industry_Automotive,0.0017580483893683946
industry_Gaming,0.001705718220944501
company_location_Netherlands,0.0015832537852577295
salary_currency_GBP,0.0015678785025200843
company_location_United Kingdom,0.001483701154706105
salary_currency_JPY,0.0012940250688415276
company_location_France,0.001151091467883085
company_location_Germany,0.0009868157570530687
salary_currency_CAD,0.0006245438737526413
salary_currency_SGD,0.0006181902259008181
salary_currency_AUD,0.0005403820419757447
